,precision_hate,precision_hate,recall_hate,recall_hate,f1_hate,f1_hate,f1_macro,f1_macro,accuracy,accuracy,roc_auc,roc_auc
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,,,
beto_base,0.188,0.0,0.0416,0.0,0.0682,0.0,0.4587,0.0,0.7404,0.0,0.5148,0.0
beto,0.6772,0.022,0.6859,0.0241,0.681,0.0049,0.7929,0.0037,0.8534,0.0053,0.8912,0.004
mbert,0.609,0.0564,0.7018,0.0816,0.6474,0.0058,0.7657,0.0045,0.8259,0.0161,0.8703,0.0068
xlmr,0.6272,0.0034,0.7148,0.0128,0.6681,0.0063,0.7805,0.0036,0.838,0.002,0.8881,0.0037
