model,seed,f1_mean,f1_lo,f1_hi
beto,42,0.6816810810835875,0.6595255845536985,0.7025728352581079
beto,123,0.686216010666223,0.6627709362633557,0.7083146723319553
beto,2024,0.6761170450540545,0.6531316978588947,0.6988962723835583
mbert,42,0.6519208009427587,0.6292928107012978,0.6723596959896726
mbert,123,0.650544085152439,0.6274564427006455,0.670968345838397
mbert,2024,0.6412063107026567,0.6162662584839411,0.6651076317903954
xlmr,42,0.6722172383925199,0.6493162051177412,0.6949162720006514
xlmr,123,0.6611645590554321,0.6377548253574749,0.6825486619037113
xlmr,2024,0.6723203226861552,0.6506504050467679,0.6934025574454371
